q  I(q)
2.045918e-02 3.820957e+00
2.048464e-02 3.812963e+00
2.051013e-02 3.804986e+00
2.053566e-02 3.797023e+00
2.056121e-02 3.789077e+00
2.058680e-02 3.781146e+00
2.061242e-02 3.773233e+00
2.063807e-02 3.765334e+00
2.066375e-02 3.757451e+00
2.068947e-02 3.749585e+00
2.071521e-02 3.741736e+00
2.074099e-02 3.733902e+00
2.076680e-02 3.726084e+00
2.079264e-02 3.718283e+00
2.081852e-02 3.710498e+00
2.084442e-02 3.702730e+00
2.087036e-02 3.694978e+00
2.089634e-02 3.687243e+00
2.092234e-02 3.679525e+00
2.094838e-02 3.671823e+00
2.097444e-02 3.664138e+00
2.100055e-02 3.656469e+00
2.102668e-02 3.648818e+00
2.105285e-02 3.641183e+00
2.107904e-02 3.633566e+00
2.110527e-02 3.625965e+00
2.113154e-02 3.618381e+00
2.115784e-02 3.610815e+00
2.118416e-02 3.603265e+00
2.121053e-02 3.595732e+00
2.123692e-02 3.588218e+00
2.126335e-02 3.580720e+00
2.128981e-02 3.573239e+00
2.131630e-02 3.565776e+00
2.134283e-02 3.558330e+00
2.136939e-02 3.550902e+00
2.139598e-02 3.543491e+00
2.142261e-02 3.536098e+00
2.144927e-02 3.528722e+00
2.147596e-02 3.521364e+00
2.150268e-02 3.514023e+00
2.152944e-02 3.506700e+00
2.155623e-02 3.499396e+00
2.158306e-02 3.492109e+00
2.160992e-02 3.484839e+00
2.163681e-02 3.477588e+00
2.166373e-02 3.470354e+00
2.169069e-02 3.463138e+00
2.171769e-02 3.455940e+00
2.174471e-02 3.448761e+00
2.177177e-02 3.441600e+00
2.179886e-02 3.434456e+00
2.182599e-02 3.427330e+00
2.185315e-02 3.420223e+00
2.188035e-02 3.413134e+00
2.190757e-02 3.406063e+00
2.193484e-02 3.399011e+00
2.196213e-02 3.391976e+00
2.198946e-02 3.384961e+00
2.201683e-02 3.377963e+00
2.204423e-02 3.370984e+00
2.207166e-02 3.364023e+00
2.209912e-02 3.357081e+00
2.212663e-02 3.350158e+00
2.215416e-02 3.343252e+00
2.218173e-02 3.336365e+00
2.220933e-02 3.329497e+00
2.223697e-02 3.322647e+00
2.226464e-02 3.315817e+00
2.229235e-02 3.309004e+00
2.232009e-02 3.302211e+00
2.234787e-02 3.295436e+00
2.237568e-02 3.288679e+00
2.240352e-02 3.281942e+00
2.243140e-02 3.275223e+00
2.245931e-02 3.268523e+00
2.248726e-02 3.261842e+00
2.251525e-02 3.255180e+00
2.254327e-02 3.248537e+00
2.257132e-02 3.241912e+00
2.259941e-02 3.235307e+00
2.262753e-02 3.228720e+00
2.265569e-02 3.222152e+00
2.268388e-02 3.215603e+00
2.271211e-02 3.209073e+00
2.274037e-02 3.202562e+00
2.276867e-02 3.196070e+00
2.279701e-02 3.189597e+00
2.282537e-02 3.183143e+00
2.285378e-02 3.176708e+00
2.288222e-02 3.170292e+00
2.291069e-02 3.163896e+00
2.293920e-02 3.157517e+00
2.296775e-02 3.151159e+00
2.299633e-02 3.144819e+00
2.302495e-02 3.138499e+00
2.305360e-02 3.132197e+00
2.308229e-02 3.125915e+00
2.311101e-02 3.119651e+00
2.313977e-02 3.113407e+00
2.316857e-02 3.107182e+00
2.319740e-02 3.100976e+00
2.322627e-02 3.094790e+00
2.325517e-02 3.088622e+00
2.328411e-02 3.082474e+00
2.331309e-02 3.076344e+00
2.334210e-02 3.070233e+00
2.337115e-02 3.064142e+00
2.340023e-02 3.058070e+00
2.342935e-02 3.052018e+00
2.345851e-02 3.045984e+00
2.348770e-02 3.039969e+00
2.351693e-02 3.033973e+00
2.354619e-02 3.027997e+00
2.357549e-02 3.022039e+00
2.360483e-02 3.016100e+00
2.363420e-02 3.010182e+00
2.366362e-02 3.004281e+00
2.369306e-02 2.998400e+00
2.372255e-02 2.992538e+00
