q(A-1),I_linear_transform(a.u.),sigI(a.u.)
0.206915,0.008485705,0.00020119
0.207741,0.008193403,0.00020291
0.208567,0.008734854,0.00020796
0.209393,0.008461145,0.00020193
0.210219,0.008655885,0.00020382
0.211045,0.008497213,0.0002014
0.211871,0.008628935,0.00020493
0.212697,0.008563958,0.00020171
0.213523,0.008807279,0.00020443
0.214349,0.008792186,0.00020366
0.215175,0.008619992,0.00020165
0.216001,0.00859294,0.00020173
0.216827,0.008647191,0.0001987
0.217653,0.008576955,0.00020085
0.218479,0.008300607,0.00019656
0.219305,0.008984845,0.00020411
0.220131,0.008668474,0.00019922
0.220957,0.00877245,0.00019881
0.221783,0.008761008,0.00020196
0.222609,0.00864636,0.00019862
0.223435,0.008735571,0.00019902
0.224261,0.008931708,0.00019765
0.225087,0.008627133,0.00019744
0.225913,0.008424166,0.00019484
0.226739,0.008790109,0.00019767
0.227565,0.008781726,0.00019859
0.228391,0.008817784,0.00019626
0.229217,0.008625715,0.00019578
0.230043,0.008804998,0.00019595
0.230869,0.009222648,0.0001994
0.231695,0.008711358,0.00019698
0.232521,0.008805109,0.00019371
0.233347,0.008783061,0.00019508
0.234173,0.008543854,0.00019244
0.234999,0.008881675,0.00019538
0.235825,0.008552425,0.00019322
0.236651,0.009114564,0.00019609
0.237477,0.008786636,0.00019371
0.238303,0.008791014,0.00019191
0.239129,0.008438722,0.00018966
0.239955,0.008679745,0.00019174
0.240781,0.008880936,0.0001915
0.241607,0.008978388,0.00019333
0.242433,0.008921901,0.00019125
0.243259,0.008823014,0.00019159
0.244085,0.008410798,0.000186
0.244911,0.009119373,0.00019368
0.245737,0.009075615,0.0001933
0.246563,0.008820402,0.00018946
0.247389,0.00873052,0.00018925
0.248215,0.008625233,0.00018585
0.249041,0.008763937,0.00018934
0.249867,0.008960252,0.00018924
0.250693,0.008535051,0.00018471
0.251519,0.008644899,0.00018747
0.252345,0.008943574,0.00018646
0.253171,0.008781288,0.00018852
0.253997,0.009155154,0.00018861
0.254823,0.009136026,0.00018939
0.255649,0.008834254,0.00018736
0.256475,0.008799387,0.00018517
0.257301,0.008847568,0.00018651
0.258127,0.008725736,0.00018363
0.258953,0.008878986,0.00018706
0.259779,0.009273761,0.00018852
0.260605,0.009137121,0.00018746
0.261431,0.008900386,0.00018554
0.262257,0.009098826,0.00018552
0.263083,0.009142595,0.00018744
0.263909,0.008539281,0.00017911
0.264735,0.009125433,0.00018598
0.265561,0.009287404,0.00018766
0.266387,0.008841736,0.00018224
0.267213,0.009295493,0.00018749
0.268039,0.009078232,0.00018238
0.268865,0.009254548,0.00018667
0.269691,0.009080783,0.00018311
0.270517,0.008868343,0.00018113
0.271343,0.008566675,0.00017973
0.272169,0.00905851,0.00018099
0.272995,0.009043135,0.00018384
0.273821,0.009243838,0.00018165
0.274647,0.009205675,0.00018424
0.275473,0.009113202,0.00018235
0.276299,0.009329283,0.00018387
0.277125,0.009225376,0.00018289
0.277951,0.009276395,0.00018133
0.278777,0.009139952,0.0001821
0.279603,0.00934598,0.00018243
0.280429,0.009514365,0.00018319
0.281255,0.009175582,0.0001801
0.282081,0.009276171,0.00018119
0.282907,0.009365525,0.00018224
0.283733,0.009428895,0.00018098
0.284559,0.009033791,0.00017865
0.285385,0.00924118,0.00017918
0.286211,0.009236486,0.00018001
0.287037,0.008804544,0.00017442
0.287863,0.009125783,0.00017753
0.288689,0.009273948,0.00018018
0.289515,0.009219008,0.00017715
0.290341,0.009030392,0.00017624
0.291167,0.009615219,0.00018031
0.291993,0.00937047,0.00017875
0.292819,0.009129425,0.00017728
0.293645,0.009354915,0.00017803
0.294471,0.009056208,0.00017547
0.295297,0.009294013,0.00017647
0.296123,0.009203681,0.00017682
0.296949,0.009511365,0.00017805
0.297775,0.009585834,0.00017926
0.298601,0.009182514,0.00017554
0.299427,0.008978822,0.00017269
0.302557,0.00945839,7.21E-05
0.30867,0.00949407,5.04E-05
0.314782,0.009570856,5.03E-05
0.320894,0.009620916,4.95E-05
0.327007,0.009671295,4.94E-05
0.333119,0.009797204,5.04E-05
0.339231,0.009884794,5.04E-05
0.345343,0.009940314,5.12E-05
0.351456,0.009997907,5.15E-05
0.357568,0.010022363,5.23E-05
0.36368,0.010100058,5.19E-05
0.369792,0.010355784,5.25E-05
0.375905,0.010412325,5.34E-05
0.382017,0.010534795,5.29E-05
0.388129,0.010607433,5.32E-05
0.394241,0.010706041,7.47E-05
0.400354,0.010735172,7.66E-05
0.406466,0.011014535,7.79E-05
0.412578,0.01111475,7.51E-05
0.418691,0.011226892,7.57E-05
0.424803,0.011212983,7.49E-05
0.430915,0.011471499,7.66E-05
0.437027,0.011657021,7.42E-05
0.44314,0.011698671,7.65E-05
0.449252,0.011879343,7.46E-05
0.455364,0.012067052,7.52E-05
0.461476,0.011984341,7.48E-05
0.467589,0.012400832,7.47E-05
0.473701,0.012476602,7.74E-05
0.479813,0.012675293,7.42E-05
0.485926,0.012913967,7.50E-05
0.492038,0.012959531,7.51E-05
0.49815,0.013050922,7.64E-05
0.504262,0.013332609,7.42E-05
0.510375,0.013554559,7.49E-05
0.516487,0.013746747,7.70E-05
0.522599,0.014061508,7.42E-05
0.528711,0.014207068,7.60E-05
0.534824,0.014536585,7.53E-05
0.540936,0.014631096,7.72E-05
0.547048,0.014900967,7.49E-05
0.553161,0.01499338,7.69E-05
0.559273,0.015372157,7.73E-05
0.565385,0.015541531,7.59E-05
0.571497,0.015865664,7.78E-05
0.57761,0.016035966,7.62E-05
0.583722,0.016121212,7.82E-05
0.589834,0.016614103,7.63E-05
0.595946,0.016711974,7.83E-05
0.602059,0.017060653,7.79E-05
0.608171,0.017075298,7.82E-05
0.614283,0.017527454,7.84E-05
0.620396,0.017801246,8.06E-05
0.626508,0.018051206,8.30E-05
0.63262,0.018205123,8.07E-05
0.638732,0.018603445,8.33E-05
0.644845,0.018784298,8.32E-05
0.650957,0.01905609,8.50E-05
0.657069,0.019253356,8.36E-05
0.663181,0.019649453,8.57E-05
0.669294,0.019757394,8.54E-05
0.675406,0.020030122,8.62E-05
0.681518,0.020322915,8.70E-05
0.68763,0.020576177,8.71E-05
0.693743,0.02105717,8.85E-05
0.699855,0.021160367,8.79E-05
0.705967,0.021360411,8.94E-05
0.71208,0.021543379,8.64E-05
0.718192,0.021621728,9.09E-05
0.724304,0.021795796,8.86E-05
0.730416,0.022058543,8.87E-05
0.736529,0.022271786,8.88E-05
0.742641,0.022322668,9.08E-05
0.748753,0.022659447,8.85E-05
0.754865,0.022683298,9.02E-05
0.760978,0.02290352,9.08E-05
0.76709,0.023134123,9.11E-05
0.773202,0.02321305,8.99E-05
0.779315,0.02318476,9.08E-05
0.785427,0.023355789,9.14E-05
0.791539,0.023400962,8.94E-05
0.797651,0.023459638,9.21E-05
0.803764,0.023510841,8.94E-05
0.809876,0.023646692,9.20E-05
0.815988,0.023564204,8.95E-05
0.8221,0.02335968,9.15E-05
0.828213,0.023563992,8.86E-05
0.834325,0.023366405,9.08E-05
0.840437,0.023550498,8.72E-05
0.84655,0.023501007,8.82E-05
0.852662,0.023395675,8.51E-05
0.858774,0.023370034,8.55E-05
0.864886,0.023268887,8.39E-05
0.870999,0.023146907,8.38E-05
0.877111,0.023109468,8.13E-05
0.883223,0.023181046,8.33E-05
0.889335,0.02301925,8.10E-05
0.895448,0.022795159,8.09E-05
0.90156,0.022774628,8.10E-05
0.907672,0.022601772,7.97E-05
0.913785,0.022572412,7.95E-05
0.919897,0.022372732,7.93E-05
0.926009,0.022300122,7.78E-05
0.932121,0.022167426,7.84E-05
0.938234,0.022108656,7.76E-05
0.944346,0.021865334,7.67E-05
0.950458,0.021825839,7.68E-05
0.95657,0.021654364,7.66E-05
0.962683,0.021534598,7.47E-05
0.968795,0.021575365,7.61E-05
0.974907,0.021411928,7.29E-05
0.98102,0.021263393,7.46E-05
0.987132,0.021259786,7.40E-05
0.993244,0.021015114,7.24E-05
0.999356,0.021001739,7.34E-05
