q,I,dI
0.130228159,278.1267139,0
0.130328185,277.9926262,0
0.130428287,277.8583943,0
0.130528466,277.724018,0
0.130628722,277.5894972,0
0.130729056,277.454832,0
0.130829466,277.3200222,0
0.130929953,277.1850678,0
0.131030518,277.0499687,0
0.13113116,276.914725,0
0.131231879,276.7793364,0
0.131332675,276.6438031,0
0.131433549,276.5081248,0
0.1315345,276.3723016,0
0.131635529,276.2363334,0
0.131736636,276.1002202,0
0.13183782,275.9639619,0
0.131939082,275.8275584,0
0.132040422,275.6910097,0
0.132141839,275.5543157,0
0.132243334,275.4174764,0
0.132344908,275.2804918,0
0.132446559,275.1433617,0
0.132548289,275.0060862,0
0.132650096,274.8686652,0
0.132751982,274.7310985,0
0.132853946,274.5933863,0
0.132955988,274.4555284,0
0.133058109,274.3175247,0
0.133160308,274.1793753,0
0.133262586,274.0410801,0
0.133364942,273.902639,0
0.133467377,273.7640519,0
0.13356989,273.6253189,0
0.133672483,273.4864399,0
0.133775154,273.3474148,0
0.133877904,273.2082436,0
0.133980732,273.0689263,0
0.13408364,272.9294627,0
0.134186627,272.7898529,0
0.134289693,272.6500968,0
0.134392838,272.5101943,0
0.134496062,272.3701455,0
0.134599366,272.2299502,0
0.134702749,272.0896084,0
0.134806211,271.9491201,0
0.134909753,271.8084853,0
0.135013375,271.6677038,0
0.135117076,271.5267757,0
0.135220856,271.3857009,0
0.135324716,271.2444793,0
0.135428657,271.103111,0
0.135532676,270.9615958,0
0.135636776,270.8199338,0
0.135740956,270.6781248,0
0.135845216,270.536169,0
0.135949556,270.3940661,0
0.136053976,270.2518162,0
0.136158476,270.1094193,0
0.136263056,269.9668752,0
0.136367717,269.824184,0
0.136472458,269.6813456,0
0.13657728,269.53836,0
0.136682182,269.3952272,0
0.136787165,269.251947,0
0.136892228,269.1085195,0
0.136997372,268.9649447,0
0.137102597,268.8212224,0
0.137207903,268.6773527,0
0.137313289,268.5333355,0
0.137418757,268.3891709,0
0.137524305,268.2448586,0
0.137629935,268.1003988,0
0.137735646,267.9557914,0
0.137841437,267.8110364,0
0.137947311,267.6661336,0
0.138053265,267.5210832,0
0.138159301,267.375885,0
0.138265418,267.230539,0
0.138371617,267.0850453,0
0.138477897,266.9394037,0
0.138584259,266.7936142,0
0.138690703,266.6476768,0
0.138797228,266.5015915,0
0.138903836,266.3553583,0
0.139010525,266.208977,0
0.139117296,266.0624478,0
0.139224149,265.9157705,0
0.139331084,265.7689451,0
0.139438101,265.6219717,0
0.139545201,265.4748501,0
0.139652383,265.3275804,0
0.139759647,265.1801625,0
0.139866993,265.0325964,0
0.139974422,264.884882,0
0.140081933,264.7370194,0
0.140189527,264.5890086,0
0.140297204,264.4408494,0
0.140404963,264.292542,0
0.140512806,264.1440861,0
0.140620731,263.9954819,0
0.140728738,263.8467294,0
0.140836829,263.6978284,0
0.140945003,263.5487789,0
0.14105326,263.3995811,0
0.1411616,263.2502347,0
0.141270023,263.1007399,0
0.14137853,262.9510965,0
0.14148712,262.8013046,0
0.141595793,262.6513642,0
0.14170455,262.5012752,0
0.14181339,262.3510376,0
0.141922314,262.2006514,0
0.142031322,262.0501166,0
0.142140413,261.8994331,0
0.142249588,261.748601,0
0.142358847,261.5976202,0
0.14246819,261.4464908,0
0.142577617,261.2952126,0
0.142687127,261.1437857,0
0.142796722,260.9922101,0
0.142906402,260.8404858,0
0.143016165,260.6886127,0
0.143126013,260.5365909,0
0.143235945,260.3844203,0
0.143345961,260.2321009,0
0.143456062,260.0796327,0
0.143566248,259.9270157,0
0.143676518,259.7742498,0
0.143786873,259.6213352,0
0.143897313,259.4682717,0
0.144007837,259.3150594,0
0.144118447,259.1616982,0
0.144229141,259.0081882,0
0.144339921,258.8545293,0
0.144450785,258.7007215,0
0.144561735,258.5467648,0
0.14467277,258.3926593,0
0.14478389,258.2384049,0
0.144895095,258.0840015,0
0.145006386,257.9294493,0
0.145117762,257.7747482,0
0.145229224,257.6198982,0
0.145340772,257.4648993,0
0.145452405,257.3097514,0
0.145564124,257.1544547,0
0.145675929,256.9990091,0
0.14578782,256.8434145,0
0.145899796,256.687671,0
0.146011859,256.5317786,0
0.146124007,256.3757373,0
0.146236242,256.2195471,0
0.146348563,256.063208,0
0.14646097,255.90672,0
0.146573464,255.7500831,0
0.146686044,255.5932973,0
0.146798711,255.4363626,0
0.146911464,255.279279,0
0.147024303,255.1220466,0
0.147137229,254.9646652,0
0.147250242,254.807135,0
0.147363342,254.6494559,0
0.147476529,254.491628,0
0.147589803,254.3336512,0
0.147703163,254.1755256,0
0.147816611,254.0172511,0
0.147930146,253.8588278,0
0.148043768,253.7002557,0
0.148157477,253.5415348,0
0.148271274,253.3826651,0
0.148385158,253.2236467,0
0.14849913,253.0644794,0
0.148613189,252.9051635,0
0.148727335,252.7456987,0
0.14884157,252.5860853,0
0.148955892,252.4263231,0
0.149070302,252.2664122,0
0.149184799,252.1063527,0
0.149299385,251.9461444,0
0.149414059,251.7857875,0
0.149528821,251.625282,0
0.149643671,251.4646279,0
0.149758609,251.3038252,0
0.149873635,251.1428739,0
