<X> <Y> <dY> <dX>
7.759199999999999e-02 4.672940000000000e+08 9.631900000000000e+09 5.854580000000000e+09
7.826089999999999e-02 4.616280000000000e+08 9.624660000000000e+09 5.867650000000000e+09
7.892979999999999e-02 4.480690000000000e+08 9.465770000000000e+09 5.790770000000000e+09
7.959869999999999e-02 4.266320000000000e+08 9.146190000000000e+09 5.616890000000000e+09
8.026759999999999e-02 3.980490000000000e+08 8.672470000000000e+09 5.348590000000000e+09
8.093649999999999e-02 3.636060000000000e+08 8.063780000000000e+09 4.996260000000000e+09
8.160539999999999e-02 3.249550000000000e+08 7.348370000000000e+09 4.576060000000000e+09
8.227420000000001e-02 2.839370000000000e+08 6.560060000000000e+09 4.107800000000000e+09
8.294310000000001e-02 2.424070000000000e+08 5.734820000000000e+09 3.612880000000000e+09
8.361200000000001e-02 2.020950000000000e+08 4.907720000000000e+09 3.112460000000000e+09
8.428090000000001e-02 1.644830000000000e+08 4.110460000000000e+09 2.625890000000000e+09
8.494980000000001e-02 1.307330000000000e+08 3.369510000000000e+09 2.169600000000000e+09
8.561870000000001e-02 1.016400000000000e+08 2.704920000000000e+09 1.756310000000000e+09
8.628760000000001e-02 7.761910000000000e+07 2.129790000000000e+09 1.394670000000000e+09
8.695650000000001e-02 5.873070000000000e+07 1.650360000000000e+09 1.089270000000000e+09
8.762540000000001e-02 4.472410000000000e+07 1.266670000000000e+09 8.409500000000000e+08
8.829430000000001e-02 3.510110000000000e+07 9.734650000000000e+08 6.473420000000000e+08
8.896320000000001e-02 2.919080000000000e+07 7.615310000000000e+08 5.036160000000000e+08
8.963210000000001e-02 2.622780000000000e+07 6.190480000000000e+08 4.032650000000000e+08
9.030100000000001e-02 2.542780000000000e+07 5.329920000000000e+08 3.389330000000000e+08
9.096990000000001e-02 2.605510000000000e+07 4.904190000000000e+08 3.031690000000000e+08
9.163880000000001e-02 2.747730000000000e+07 4.795600000000000e+08 2.890870000000000e+08
9.230770000000001e-02 2.920510000000000e+07 4.906560000000000e+08 2.908720000000000e+08
9.297660000000001e-02 3.091560000000000e+07 5.165080000000000e+08 3.041240000000000e+08
9.364550000000001e-02 3.245850000000000e+07 5.527280000000000e+08 3.260200000000000e+08
9.431440000000001e-02 3.384770000000000e+07 5.977040000000000e+08 3.553200000000000e+08
9.498330000000001e-02 3.523940000000000e+07 6.523180000000000e+08 3.922200000000000e+08
9.565220000000001e-02 3.690060000000000e+07 7.194700000000000e+08 4.380820000000000e+08
9.632110000000001e-02 3.917100000000000e+07 8.034510000000000e+08 4.950880000000000e+08
9.699000000000001e-02 4.242090000000000e+07 9.092460000000000e+08 5.658360000000000e+08
9.765890000000001e-02 4.701110000000000e+07 1.041820000000000e+09 6.529300000000000e+08
9.832780000000001e-02 5.325390000000000e+07 1.205440000000000e+09 7.585870000000000e+08
9.899670000000001e-02 6.138190000000000e+07 1.403090000000000e+09 8.842940000000000e+08
9.966559999999999e-02 7.152290000000000e+07 1.636020000000000e+09 1.030540000000000e+09
1.003340000000000e-01 8.368440000000000e+07 1.903400000000000e+09 1.196620000000000e+09
1.010030000000000e-01 9.774640000000000e+07 2.202230000000000e+09 1.380560000000000e+09
1.016720000000000e-01 1.134640000000000e+08 2.527280000000000e+09 1.579130000000000e+09
1.023410000000000e-01 1.304790000000000e+08 2.871340000000000e+09 1.787910000000000e+09
1.030100000000000e-01 1.483360000000000e+08 3.225460000000000e+09 2.001510000000000e+09
1.036790000000000e-01 1.665040000000000e+08 3.579390000000000e+09 2.213760000000000e+09
1.043480000000000e-01 1.844070000000000e+08 3.922090000000000e+09 2.418060000000000e+09
1.050170000000000e-01 2.014520000000000e+08 4.242230000000000e+09 2.607680000000000e+09
1.056860000000000e-01 2.170570000000000e+08 4.528790000000000e+09 2.776050000000000e+09
1.063550000000000e-01 2.306780000000000e+08 4.771610000000000e+09 2.917180000000000e+09
1.070230000000000e-01 2.418400000000000e+08 4.961860000000000e+09 3.025880000000000e+09
1.076920000000000e-01 2.501540000000000e+08 5.092530000000000e+09 3.098060000000000e+09
1.083610000000000e-01 2.553390000000000e+08 5.158750000000000e+09 3.130970000000000e+09
1.090300000000000e-01 2.572320000000000e+08 5.158100000000000e+09 3.123310000000000e+09
1.096990000000000e-01 2.557950000000000e+08 5.090720000000000e+09 3.075360000000000e+09
1.103680000000000e-01 2.511210000000000e+08 4.959410000000000e+09 2.989030000000000e+09
1.110370000000000e-01 2.434270000000000e+08 4.769520000000000e+09 2.867740000000000e+09
1.117060000000000e-01 2.330460000000000e+08 4.528800000000000e+09 2.716400000000000e+09
1.123750000000000e-01 2.204170000000000e+08 4.247110000000000e+09 2.541160000000000e+09
1.130430000000000e-01 2.060650000000000e+08 3.936070000000000e+09 2.349270000000000e+09
1.137120000000000e-01 1.905830000000000e+08 3.608580000000000e+09 2.148690000000000e+09
1.143810000000000e-01 1.746060000000000e+08 3.278370000000000e+09 1.947900000000000e+09
1.150500000000000e-01 1.587900000000000e+08 2.959400000000000e+09 1.755450000000000e+09
1.157190000000000e-01 1.437840000000000e+08 2.665310000000000e+09 1.579680000000000e+09
1.163880000000000e-01 1.302040000000000e+08 2.408840000000000e+09 1.428320000000000e+09
1.170570000000000e-01 1.186080000000000e+08 2.201320000000000e+09 1.308200000000000e+09
1.177260000000000e-01 1.094740000000000e+08 2.052110000000000e+09 1.224900000000000e+09
1.183950000000000e-01 1.031810000000000e+08 1.968220000000000e+09 1.182510000000000e+09
1.190640000000000e-01 9.998770000000000e+07 1.953950000000000e+09 1.183430000000000e+09
1.197320000000000e-01 1.000250000000000e+08 2.010660000000000e+09 1.228210000000000e+09
1.204010000000000e-01 1.032870000000000e+08 2.136680000000000e+09 1.315530000000000e+09
1.210700000000000e-01 1.096300000000000e+08 2.327290000000000e+09 1.442190000000000e+09
1.217390000000000e-01 1.187760000000000e+08 2.574930000000000e+09 1.603220000000000e+09
1.224080000000000e-01 1.303250000000000e+08 2.869430000000000e+09 1.792110000000000e+09
1.230770000000000e-01 1.437710000000000e+08 3.198480000000000e+09 2.001020000000000e+09
1.237460000000000e-01 1.585180000000000e+08 3.548110000000000e+09 2.221160000000000e+09
1.244150000000000e-01 1.739150000000000e+08 3.903320000000000e+09 2.443150000000000e+09
1.250840000000000e-01 1.892720000000000e+08 4.248730000000000e+09 2.657430000000000e+09
1.257530000000000e-01 2.039030000000000e+08 4.569270000000000e+09 2.854710000000000e+09
1.264210000000000e-01 2.171470000000000e+08 4.850870000000000e+09 3.026390000000000e+09
1.270900000000000e-01 2.284040000000000e+08 5.081130000000000e+09 3.164950000000000e+09
1.277590000000000e-01 2.371570000000000e+08 5.249840000000000e+09 3.264310000000000e+09
1.284280000000000e-01 2.430030000000000e+08 5.349500000000000e+09 3.320100000000000e+09
1.290970000000000e-01 2.456630000000000e+08 5.375650000000000e+09 3.329860000000000e+09
1.297660000000000e-01 2.449980000000000e+08 5.327020000000000e+09 3.293140000000000e+09
1.304350000000000e-01 2.410180000000000e+08 5.205610000000000e+09 3.211510000000000e+09
1.311040000000000e-01 2.338700000000000e+08 5.016540000000000e+09 3.088480000000000e+09
1.317730000000000e-01 2.238410000000000e+08 4.767750000000000e+09 2.929260000000000e+09
1.324410000000000e-01 2.113310000000000e+08 4.469590000000000e+09 2.740520000000000e+09
1.331100000000000e-01 1.968420000000000e+08 4.134250000000000e+09 2.530000000000000e+09
1.337790000000000e-01 1.809420000000000e+08 3.775140000000000e+09 2.306150000000000e+09
1.344480000000000e-01 1.642430000000000e+08 3.406190000000000e+09 2.077650000000000e+09
1.351170000000000e-01 1.473660000000000e+08 3.041150000000000e+09 1.853010000000000e+09
1.357860000000000e-01 1.309110000000000e+08 2.692870000000000e+09 1.640100000000000e+09
1.364550000000000e-01 1.154270000000000e+08 2.372740000000000e+09 1.445820000000000e+09
1.371240000000000e-01 1.013880000000000e+08 2.090100000000000e+09 1.275730000000000e+09
1.377930000000000e-01 8.917170000000000e+07 1.851850000000000e+09 1.133850000000000e+09
1.384620000000000e-01 7.904050000000000e+07 1.662230000000000e+09 1.022480000000000e+09
1.391300000000000e-01 7.113740000000000e+07 1.522650000000000e+09 9.421920000000000e+08
1.397990000000000e-01 6.548200000000000e+07 1.431780000000000e+09 8.918300000000000e+08
1.404680000000000e-01 6.197610000000000e+07 1.385750000000000e+09 8.686960000000000e+08
1.411370000000000e-01 6.041490000000000e+07 1.378500000000000e+09 8.687570000000000e+08
1.418060000000000e-01 6.050440000000000e+07 1.402220000000000e+09 8.869530000000000e+08
1.424750000000000e-01 6.188270000000000e+07 1.447910000000000e+09 9.175420000000000e+08
