<X> <Y>
1.968750000000000e+00 5.273244783736602e+07
1.975000000000000e+00 5.181839865207574e+07
1.981250000000000e+00 5.089534912775346e+07
1.987500000000000e+00 5.001648735804186e+07
1.993750000000000e+00 4.923260098680332e+07
2.000000000000000e+00 4.858749224467374e+07
2.006250000000000e+00 4.811583154260458e+07
2.012500000000000e+00 4.784049427494022e+07
2.018750000000000e+00 4.777440902065529e+07
2.025000000000000e+00 4.792053645432132e+07
2.031250000000000e+00 4.827234498882031e+07
2.037500000000000e+00 4.881372924807783e+07
2.043750000000000e+00 4.951849487306830e+07
2.050000000000000e+00 5.034995451270565e+07
2.056250000000000e+00 5.126169696323686e+07
2.062500000000000e+00 5.219912925123756e+07
2.068750000000000e+00 5.310077774824668e+07
2.075000000000000e+00 5.390486144302147e+07
2.081250000000000e+00 5.455087871802401e+07
2.087500000000000e+00 5.498467619673304e+07
2.093750000000000e+00 5.516165298816352e+07
2.100000000000000e+00 5.504874841495179e+07
2.106250000000000e+00 5.462537121354072e+07
2.112500000000000e+00 5.388349516041660e+07
2.118750000000000e+00 5.282879419675136e+07
2.125000000000000e+00 5.147960880019642e+07
2.131250000000000e+00 4.986863705729160e+07
2.137500000000000e+00 4.804148703990594e+07
2.143750000000000e+00 4.605490804420558e+07
2.150000000000000e+00 4.397363159227612e+07
2.156250000000000e+00 4.186629549854798e+07
2.162500000000000e+00 3.980115024970924e+07
2.168750000000000e+00 3.784305748716454e+07
2.175000000000000e+00 3.604936365324428e+07
2.181250000000000e+00 3.446904174785390e+07
2.187500000000000e+00 3.314184094393342e+07
2.193750000000000e+00 3.209684491143561e+07
2.200000000000000e+00 3.135178658034918e+07
2.206250000000000e+00 3.091217075025674e+07
2.212500000000000e+00 3.077055166805135e+07
2.218750000000000e+00 3.090647591726696e+07
2.225000000000000e+00 3.128782577264169e+07
2.231250000000000e+00 3.187338259236401e+07
2.237500000000000e+00 3.261506789936992e+07
2.243750000000000e+00 3.346266455245434e+07
2.250000000000000e+00 3.436613605017440e+07
2.256250000000000e+00 3.527824935518055e+07
2.262500000000000e+00 3.615635857193582e+07
2.268750000000000e+00 3.696346552579673e+07
2.275000000000000e+00 3.766870621280935e+07
2.281250000000000e+00 3.824752668770926e+07
2.287500000000000e+00 3.868178599319586e+07
2.293750000000000e+00 3.896025835511099e+07
2.300000000000000e+00 3.907808553613388e+07
2.306250000000000e+00 3.903726308938605e+07
2.312500000000000e+00 3.884645542850901e+07
2.318750000000000e+00 3.852022152681597e+07
2.325000000000000e+00 3.807758767562559e+07
2.331250000000000e+00 3.754010070587916e+07
2.337500000000000e+00 3.693055539841642e+07
2.343750000000000e+00 3.626990616601789e+07
2.350000000000000e+00 3.557701033474330e+07
2.356250000000000e+00 3.486826295536610e+07
2.362500000000000e+00 3.415716884983567e+07
2.368750000000000e+00 3.345449461512114e+07
2.375000000000000e+00 3.276826161208371e+07
2.381250000000000e+00 3.210361381520047e+07
2.387500000000000e+00 3.146280324901561e+07
2.393750000000000e+00 3.084631688961205e+07
2.400000000000000e+00 3.025295565250462e+07
2.406250000000000e+00 2.968162266016076e+07
2.412500000000000e+00 2.913302433161132e+07
2.418750000000000e+00 2.860990468634784e+07
2.425000000000000e+00 2.811717224239036e+07
2.431250000000000e+00 2.766140735866820e+07
2.437500000000000e+00 2.725005902985849e+07
2.443750000000000e+00 2.689062810781499e+07
2.450000000000000e+00 2.659057743410269e+07
2.456250000000000e+00 2.635636450637754e+07
2.462500000000000e+00 2.619464118970938e+07
2.468750000000000e+00 2.611114204420917e+07
2.475000000000000e+00 2.611099619567110e+07
2.481250000000000e+00 2.619846030680922e+07
2.487500000000000e+00 2.637650980083108e+07
2.493750000000000e+00 2.664632132292081e+07
2.500000000000000e+00 2.700691645724548e+07
2.506250000000000e+00 2.745473728117302e+07
2.512500000000000e+00 2.798272867408963e+07
2.518750000000000e+00 2.858124235949118e+07
2.525000000000000e+00 2.923748354591426e+07
2.531250000000000e+00 2.993649696721227e+07
2.537500000000000e+00 3.066213134868052e+07
2.543750000000000e+00 3.139803562331629e+07
2.550000000000000e+00 3.212847657343360e+07
2.556250000000000e+00 3.283935187093162e+07
2.562500000000000e+00 3.351841992958137e+07
2.568750000000000e+00 3.415525116602083e+07
2.575000000000000e+00 3.474210191155776e+07
2.581250000000000e+00 3.527378563493948e+07
2.587500000000000e+00 3.574773515281677e+07
2.593750000000000e+00 3.616378556848527e+07
2.600000000000000e+00 3.652360989259098e+07
