<X> <Y>
1.142929229996932e-02 1.169029639021391e+06
1.144685624404141e-02 1.168228618597816e+06
1.146444717947248e-02 1.167425679244064e+06
1.148206514774145e-02 1.166620818058761e+06
1.149971019039099e-02 1.165814032147018e+06
1.151738234902760e-02 1.165005318620524e+06
1.153508166532172e-02 1.164194674597639e+06
1.155280818100785e-02 1.163382097203479e+06
1.157056193788458e-02 1.162567583570007e+06
1.158834297781477e-02 1.161751130836129e+06
1.160615134272561e-02 1.160932736147778e+06
1.162398707460872e-02 1.160112396658011e+06
1.164185021552022e-02 1.159290109527101e+06
1.165974080758089e-02 1.158465871922630e+06
1.167765889297626e-02 1.157639681019581e+06
1.169560451395663e-02 1.156811534000432e+06
1.171357771283728e-02 1.155981428055253e+06
1.173157853199848e-02 1.155149360381800e+06
1.174960701388567e-02 1.154315328185606e+06
1.176766320100947e-02 1.153479328680086e+06
1.178574713594586e-02 1.152641359086627e+06
1.180385886133625e-02 1.151801416634683e+06
1.182199841988757e-02 1.150959498561882e+06
1.184016585437236e-02 1.150115602114113e+06
1.185836120762892e-02 1.149269724545633e+06
1.187658452256137e-02 1.148421863119162e+06
1.189483584213977e-02 1.147572015105983e+06
1.191311520940021e-02 1.146720177786042e+06
1.193142266744490e-02 1.145866348448052e+06
1.194975825944232e-02 1.145010524389588e+06
1.196812202862726e-02 1.144152702917192e+06
1.198651401830096e-02 1.143292881346479e+06
1.200493427183120e-02 1.142431057002233e+06
1.202338283265243e-02 1.141567227218512e+06
1.204185974426581e-02 1.140701389338756e+06
1.206036505023937e-02 1.139833540715885e+06
1.207889879420809e-02 1.138963678712410e+06
1.209746101987402e-02 1.138091800700533e+06
1.211605177100635e-02 1.137217904062256e+06
1.213467109144152e-02 1.136341986189486e+06
1.215331902508339e-02 1.135464044484142e+06
1.217199561590322e-02 1.134584076358263e+06
1.219070090793990e-02 1.133702079234118e+06
1.220943494529995e-02 1.132818050544308e+06
1.222819777215771e-02 1.131931987731882e+06
1.224698943275538e-02 1.131043888250443e+06
1.226580997140316e-02 1.130153749564260e+06
1.228465943247934e-02 1.129261569148375e+06
1.230353786043041e-02 1.128367344488719e+06
1.232244529977117e-02 1.127471073082219e+06
1.234138179508480e-02 1.126572752436914e+06
1.236034739102303e-02 1.125672380072065e+06
1.237934213230619e-02 1.124769953518272e+06
1.239836606372333e-02 1.123865470317581e+06
1.241741923013234e-02 1.122958928023607e+06
1.243650167646003e-02 1.122050324201642e+06
1.245561344770228e-02 1.121139656428773e+06
1.247475458892409e-02 1.120226922293999e+06
1.249392514525971e-02 1.119312119398346e+06
1.251312516191278e-02 1.118395245354984e+06
1.253235468415638e-02 1.117476297789346e+06
1.255161375733317e-02 1.116555274339243e+06
1.257090242685550e-02 1.115632172654989e+06
1.259022073820550e-02 1.114706990399512e+06
1.260956873693520e-02 1.113779725248479e+06
1.262894646866661e-02 1.112850374890417e+06
1.264835397909187e-02 1.111918937026830e+06
1.266779131397334e-02 1.110985409372324e+06
1.268725851914371e-02 1.110049789654725e+06
1.270675564050606e-02 1.109112075615206e+06
1.272628272403407e-02 1.108172265008408e+06
1.274583981577203e-02 1.107230355602561e+06
1.276542696183502e-02 1.106286345179612e+06
1.278504420840894e-02 1.105340231535350e+06
1.280469160175072e-02 1.104392012479526e+06
1.282436918818834e-02 1.103441685835984e+06
1.284407701412099e-02 1.102489249442786e+06
1.286381512601915e-02 1.101534701152338e+06
1.288358357042473e-02 1.100578038831516e+06
1.290338239395116e-02 1.099619260361798e+06
1.292321164328348e-02 1.098658363639390e+06
1.294307136517851e-02 1.097695346575352e+06
1.296296160646490e-02 1.096730207095736e+06
1.298288241404327e-02 1.095762943141706e+06
1.300283383488630e-02 1.094793552669676e+06
1.302281591603888e-02 1.093822033651439e+06
1.304282870461819e-02 1.092848384074298e+06
1.306287224781381e-02 1.091872601941200e+06
1.308294659288782e-02 1.090894685270865e+06
1.310305178717498e-02 1.089914632097925e+06
1.312318787808275e-02 1.088932440473054e+06
1.314335491309145e-02 1.087948108463104e+06
1.316355293975437e-02 1.086961634151241e+06
1.318378200569789e-02 1.085973015637076e+06
1.320404215862156e-02 1.084982251036806e+06
1.322433344629824e-02 1.083989338483352e+06
1.324465591657420e-02 1.082994276126491e+06
1.326500961736925e-02 1.081997062132994e+06
1.328539459667683e-02 1.080997694686770e+06
1.330581090256414e-02 1.079996171989001e+06
1.332625858317224e-02 1.078992492258281e+06
1.334673768671618e-02 1.077986653730755e+06
1.336724826148510e-02 1.076978654660264e+06
1.338779035584233e-02 1.075968493318484e+06
1.340836401822557e-02 1.074956167995063e+06
